Time,Severity of Accident,Number of Accidents,Month,Year
02:00,ΒΑΡΙΑ,2,May,2018
02:00,ΕΛΑΦΡΑ,11,May,2018
02:00,ΝΕΚΡΟΙ,0,June,2018
02:00,ΒΑΡΙΑ,1,June,2018
02:00,ΕΛΑΦΡΑ,22,June,2018
02:00,ΝΕΚΡΟΙ,1,July,2018
02:00,ΒΑΡΙΑ,2,July,2018
02:00,ΕΛΑΦΡΑ,11,July,2018
02:00,ΝΕΚΡΟΙ,2,August,2018
02:00,ΒΑΡΙΑ,1,August,2018
02:00,ΕΛΑΦΡΑ,14,August,2018
02:00,ΝΕΚΡΟΙ,5,September,2018
02:00,ΒΑΡΙΑ,6,September,2018
02:00,ΕΛΑΦΡΑ,24,September,2018
02:00,ΝΕΚΡΟΙ,0,October,2018
02:00,ΒΑΡΙΑ,0,October,2018
02:00,ΕΛΑΦΡΑ,14,October,2018
02:00,ΝΕΚΡΟΙ,1,November,2018
02:00,ΒΑΡΙΑ,0,November,2018
02:00,ΕΛΑΦΡΑ,14,November,2018
02:00,ΝΕΚΡΟΙ,3,December,2018
02:00,ΒΑΡΙΑ,1,December,2018
02:00,ΕΛΑΦΡΑ,10,December,2018
03:00,ΝΕΚΡΟΙ,1,January,2018
03:00,ΒΑΡΙΑ,2,January,2018
03:00,ΕΛΑΦΡΑ,17,January,2018
03:00,ΝΕΚΡΟΙ,1,February,2018
03:00,ΒΑΡΙΑ,1,February,2018
03:00,ΕΛΑΦΡΑ,21,February,2018
03:00,ΝΕΚΡΟΙ,2,March,2018
03:00,ΒΑΡΙΑ,0,March,2018
03:00,ΕΛΑΦΡΑ,9,March,2018
03:00,ΝΕΚΡΟΙ,2,April,2018
03:00,ΒΑΡΙΑ,1,April,2018
03:00,ΕΛΑΦΡΑ,9,April,2018
03:00,ΝΕΚΡΟΙ,2,May,2018
03:00,ΒΑΡΙΑ,3,May,2018
03:00,ΕΛΑΦΡΑ,7,May,2018
03:00,ΝΕΚΡΟΙ,2,June,2018
03:00,ΒΑΡΙΑ,0,June,2018
03:00,ΕΛΑΦΡΑ,4,June,2018
03:00,ΝΕΚΡΟΙ,1,July,2018
03:00,ΒΑΡΙΑ,2,July,2018
03:00,ΕΛΑΦΡΑ,17,July,2018
03:00,ΝΕΚΡΟΙ,1,August,2018
03:00,ΒΑΡΙΑ,5,August,2018
03:00,ΕΛΑΦΡΑ,14,August,2018
03:00,ΝΕΚΡΟΙ,2,September,2018
03:00,ΒΑΡΙΑ,1,September,2018
03:00,ΕΛΑΦΡΑ,19,September,2018
03:00,ΝΕΚΡΟΙ,0,October,2018
03:00,ΒΑΡΙΑ,9,October,2018
03:00,ΕΛΑΦΡΑ,12,October,2018
03:00,ΝΕΚΡΟΙ,1,November,2018
03:00,ΒΑΡΙΑ,0,November,2018
03:00,ΕΛΑΦΡΑ,11,November,2018
03:00,ΝΕΚΡΟΙ,0,December,2018
03:00,ΒΑΡΙΑ,0,December,2018
03:00,ΕΛΑΦΡΑ,15,December,2018
04:00,ΝΕΚΡΟΙ,1,January,2018
04:00,ΒΑΡΙΑ,0,January,2018
04:00,ΕΛΑΦΡΑ,23,January,2018
04:00,ΝΕΚΡΟΙ,0,February,2018
04:00,ΒΑΡΙΑ,1,February,2018
04:00,ΕΛΑΦΡΑ,6,February,2018
04:00,ΝΕΚΡΟΙ,1,March,2018
04:00,ΒΑΡΙΑ,1,March,2018
04:00,ΕΛΑΦΡΑ,5,March,2018
04:00,ΝΕΚΡΟΙ,0,April,2018
04:00,ΒΑΡΙΑ,1,April,2018
04:00,ΕΛΑΦΡΑ,10,April,2018
04:00,ΝΕΚΡΟΙ,0,May,2018
04:00,ΒΑΡΙΑ,1,May,2018
04:00,ΕΛΑΦΡΑ,10,May,2018
04:00,ΝΕΚΡΟΙ,0,June,2018
04:00,ΒΑΡΙΑ,2,June,2018
04:00,ΕΛΑΦΡΑ,11,June,2018
04:00,ΝΕΚΡΟΙ,2,July,2018
04:00,ΒΑΡΙΑ,3,July,2018
04:00,ΕΛΑΦΡΑ,8,July,2018
04:00,ΝΕΚΡΟΙ,1,August,2018
04:00,ΒΑΡΙΑ,4,August,2018
04:00,ΕΛΑΦΡΑ,16,August,2018
04:00,ΝΕΚΡΟΙ,0,September,2018
04:00,ΒΑΡΙΑ,1,September,2018
04:00,ΕΛΑΦΡΑ,16,September,2018
04:00,ΝΕΚΡΟΙ,3,October,2018
04:00,ΒΑΡΙΑ,1,October,2018
04:00,ΕΛΑΦΡΑ,7,October,2018
04:00,ΝΕΚΡΟΙ,0,November,2018
04:00,ΒΑΡΙΑ,0,November,2018
04:00,ΕΛΑΦΡΑ,3,November,2018
04:00,ΝΕΚΡΟΙ,1,December,2018
04:00,ΒΑΡΙΑ,0,December,2018
04:00,ΕΛΑΦΡΑ,17,December,2018
05:00,ΝΕΚΡΟΙ,0,January,2018
05:00,ΒΑΡΙΑ,3,January,2018
05:00,ΕΛΑΦΡΑ,15,January,2018
05:00,ΝΕΚΡΟΙ,1,February,2018
05:00,ΒΑΡΙΑ,1,February,2018
05:00,ΕΛΑΦΡΑ,13,February,2018
05:00,ΝΕΚΡΟΙ,0,March,2018
05:00,ΒΑΡΙΑ,2,March,2018
05:00,ΕΛΑΦΡΑ,11,March,2018
05:00,ΝΕΚΡΟΙ,3,April,2018
05:00,ΒΑΡΙΑ,0,April,2018
05:00,ΕΛΑΦΡΑ,11,April,2018
05:00,ΝΕΚΡΟΙ,3,May,2018
05:00,ΒΑΡΙΑ,4,May,2018
05:00,ΕΛΑΦΡΑ,8,May,2018
05:00,ΝΕΚΡΟΙ,0,June,2018
05:00,ΒΑΡΙΑ,2,June,2018
05:00,ΕΛΑΦΡΑ,14,June,2018
05:00,ΝΕΚΡΟΙ,3,July,2018
05:00,ΒΑΡΙΑ,1,July,2018
05:00,ΕΛΑΦΡΑ,16,July,2018
05:00,ΝΕΚΡΟΙ,2,August,2018
05:00,ΒΑΡΙΑ,4,August,2018
05:00,ΕΛΑΦΡΑ,17,August,2018
05:00,ΝΕΚΡΟΙ,3,September,2018
05:00,ΒΑΡΙΑ,1,September,2018
05:00,ΕΛΑΦΡΑ,9,September,2018
05:00,ΝΕΚΡΟΙ,14,October,2018
05:00,ΒΑΡΙΑ,0,October,2018
05:00,ΕΛΑΦΡΑ,16,October,2018
05:00,ΝΕΚΡΟΙ,4,November,2018
05:00,ΒΑΡΙΑ,2,November,2018
05:00,ΕΛΑΦΡΑ,10,November,2018
05:00,ΝΕΚΡΟΙ,0,December,2018
05:00,ΒΑΡΙΑ,1,December,2018
05:00,ΕΛΑΦΡΑ,15,December,2018
06:00,ΝΕΚΡΟΙ,0,January,2018
06:00,ΒΑΡΙΑ,2,January,2018
06:00,ΕΛΑΦΡΑ,15,January,2018
06:00,ΝΕΚΡΟΙ,0,February,2018
06:00,ΒΑΡΙΑ,3,February,2018
06:00,ΕΛΑΦΡΑ,19,February,2018
06:00,ΝΕΚΡΟΙ,1,March,2018
06:00,ΒΑΡΙΑ,0,March,2018
06:00,ΕΛΑΦΡΑ,24,March,2018
06:00,ΝΕΚΡΟΙ,2,April,2018
06:00,ΒΑΡΙΑ,1,April,2018
06:00,ΕΛΑΦΡΑ,14,April,2018
06:00,ΝΕΚΡΟΙ,0,May,2018
06:00,ΒΑΡΙΑ,2,May,2018
06:00,ΕΛΑΦΡΑ,17,May,2018
06:00,ΝΕΚΡΟΙ,1,June,2018
06:00,ΒΑΡΙΑ,5,June,2018
06:00,ΕΛΑΦΡΑ,10,June,2018
06:00,ΝΕΚΡΟΙ,2,July,2018
06:00,ΒΑΡΙΑ,2,July,2018
06:00,ΕΛΑΦΡΑ,28,July,2018
06:00,ΝΕΚΡΟΙ,1,August,2018
06:00,ΒΑΡΙΑ,2,August,2018
06:00,ΕΛΑΦΡΑ,31,August,2018
06:00,ΝΕΚΡΟΙ,1,September,2018
06:00,ΒΑΡΙΑ,2,September,2018
06:00,ΕΛΑΦΡΑ,20,September,2018
06:00,ΝΕΚΡΟΙ,4,October,2018
06:00,ΒΑΡΙΑ,1,October,2018
06:00,ΕΛΑΦΡΑ,32,October,2018
06:00,ΝΕΚΡΟΙ,4,November,2018
06:00,ΒΑΡΙΑ,1,November,2018
06:00,ΕΛΑΦΡΑ,21,November,2018
06:00,ΝΕΚΡΟΙ,1,December,2018
06:00,ΒΑΡΙΑ,1,December,2018
06:00,ΕΛΑΦΡΑ,18,December,2018
07:00,ΝΕΚΡΟΙ,1,January,2018
07:00,ΒΑΡΙΑ,1,January,2018
07:00,ΕΛΑΦΡΑ,30,January,2018
07:00,ΝΕΚΡΟΙ,0,February,2018
07:00,ΒΑΡΙΑ,4,February,2018
07:00,ΕΛΑΦΡΑ,16,February,2018
07:00,ΝΕΚΡΟΙ,3,March,2018
07:00,ΒΑΡΙΑ,1,March,2018
07:00,ΕΛΑΦΡΑ,22,March,2018
07:00,ΝΕΚΡΟΙ,4,April,2018
07:00,ΒΑΡΙΑ,1,April,2018
07:00,ΕΛΑΦΡΑ,18,April,2018
07:00,ΝΕΚΡΟΙ,2,May,2018
07:00,ΒΑΡΙΑ,0,May,2018
07:00,ΕΛΑΦΡΑ,19,May,2018
07:00,ΝΕΚΡΟΙ,1,June,2018
07:00,ΒΑΡΙΑ,1,June,2018
07:00,ΕΛΑΦΡΑ,26,June,2018
07:00,ΝΕΚΡΟΙ,5,July,2018
07:00,ΒΑΡΙΑ,4,July,2018
07:00,ΕΛΑΦΡΑ,25,July,2018
07:00,ΝΕΚΡΟΙ,4,August,2018
07:00,ΒΑΡΙΑ,8,August,2018
07:00,ΕΛΑΦΡΑ,27,August,2018
07:00,ΝΕΚΡΟΙ,5,September,2018
07:00,ΒΑΡΙΑ,5,September,2018
07:00,ΕΛΑΦΡΑ,34,September,2018
07:00,ΝΕΚΡΟΙ,2,October,2018
07:00,ΒΑΡΙΑ,2,October,2018
07:00,ΕΛΑΦΡΑ,34,October,2018
07:00,ΝΕΚΡΟΙ,1,November,2018
07:00,ΒΑΡΙΑ,0,November,2018
07:00,ΕΛΑΦΡΑ,25,November,2018
07:00,ΝΕΚΡΟΙ,2,December,2018
07:00,ΒΑΡΙΑ,2,December,2018
07:00,ΕΛΑΦΡΑ,18,December,2018
08:00,ΝΕΚΡΟΙ,3,January,2018
08:00,ΒΑΡΙΑ,3,January,2018
08:00,ΕΛΑΦΡΑ,31,January,2018
08:00,ΝΕΚΡΟΙ,1,February,2018
08:00,ΒΑΡΙΑ,1,February,2018
08:00,ΕΛΑΦΡΑ,30,February,2018
08:00,ΝΕΚΡΟΙ,2,March,2018
08:00,ΒΑΡΙΑ,2,March,2018
08:00,ΕΛΑΦΡΑ,54,March,2018
08:00,ΝΕΚΡΟΙ,1,April,2018
08:00,ΒΑΡΙΑ,1,April,2018
08:00,ΕΛΑΦΡΑ,42,April,2018
08:00,ΝΕΚΡΟΙ,3,May,2018
08:00,ΒΑΡΙΑ,2,May,2018
08:00,ΕΛΑΦΡΑ,46,May,2018
08:00,ΝΕΚΡΟΙ,4,June,2018
08:00,ΒΑΡΙΑ,2,June,2018
08:00,ΕΛΑΦΡΑ,42,June,2018
08:00,ΝΕΚΡΟΙ,7,July,2018
08:00,ΒΑΡΙΑ,4,July,2018
08:00,ΕΛΑΦΡΑ,48,July,2018
08:00,ΝΕΚΡΟΙ,5,August,2018
08:00,ΒΑΡΙΑ,6,August,2018
08:00,ΕΛΑΦΡΑ,28,August,2018
08:00,ΝΕΚΡΟΙ,5,September,2018
08:00,ΒΑΡΙΑ,1,September,2018
08:00,ΕΛΑΦΡΑ,42,September,2018
08:00,ΝΕΚΡΟΙ,1,October,2018
08:00,ΒΑΡΙΑ,2,October,2018
08:00,ΕΛΑΦΡΑ,50,October,2018
08:00,ΝΕΚΡΟΙ,3,November,2018
08:00,ΒΑΡΙΑ,0,November,2018
08:00,ΕΛΑΦΡΑ,57,November,2018
08:00,ΝΕΚΡΟΙ,3,December,2018
08:00,ΒΑΡΙΑ,2,December,2018
08:00,ΕΛΑΦΡΑ,39,December,2018
09:00,ΝΕΚΡΟΙ,2,January,2018
09:00,ΒΑΡΙΑ,0,January,2018
09:00,ΕΛΑΦΡΑ,23,January,2018
09:00,ΝΕΚΡΟΙ,3,February,2018
09:00,ΒΑΡΙΑ,0,February,2018
09:00,ΕΛΑΦΡΑ,27,February,2018
09:00,ΝΕΚΡΟΙ,2,March,2018
09:00,ΒΑΡΙΑ,0,March,2018
09:00,ΕΛΑΦΡΑ,40,March,2018
09:00,ΝΕΚΡΟΙ,0,April,2018
09:00,ΒΑΡΙΑ,0,April,2018
09:00,ΕΛΑΦΡΑ,32,April,2018
09:00,ΝΕΚΡΟΙ,1,May,2018
09:00,ΒΑΡΙΑ,0,May,2018
09:00,ΕΛΑΦΡΑ,46,May,2018
09:00,ΝΕΚΡΟΙ,1,June,2018
09:00,ΒΑΡΙΑ,3,June,2018
09:00,ΕΛΑΦΡΑ,60,June,2018
09:00,ΝΕΚΡΟΙ,4,July,2018
09:00,ΒΑΡΙΑ,4,July,2018
09:00,ΕΛΑΦΡΑ,53,July,2018
09:00,ΝΕΚΡΟΙ,3,August,2018
09:00,ΒΑΡΙΑ,1,August,2018
09:00,ΕΛΑΦΡΑ,46,August,2018
09:00,ΝΕΚΡΟΙ,0,September,2018
09:00,ΒΑΡΙΑ,1,September,2018
09:00,ΕΛΑΦΡΑ,52,September,2018
09:00,ΝΕΚΡΟΙ,1,October,2018
09:00,ΒΑΡΙΑ,3,October,2018
09:00,ΕΛΑΦΡΑ,49,October,2018
09:00,ΝΕΚΡΟΙ,2,November,2018
09:00,ΒΑΡΙΑ,3,November,2018
09:00,ΕΛΑΦΡΑ,46,November,2018
09:00,ΝΕΚΡΟΙ,1,December,2018
09:00,ΒΑΡΙΑ,1,December,2018
09:00,ΕΛΑΦΡΑ,43,December,2018
10:00,ΝΕΚΡΟΙ,4,January,2018
10:00,ΒΑΡΙΑ,0,January,2018
10:00,ΕΛΑΦΡΑ,37,January,2018
10:00,ΝΕΚΡΟΙ,3,February,2018
10:00,ΒΑΡΙΑ,2,February,2018
10:00,ΕΛΑΦΡΑ,41,February,2018
10:00,ΝΕΚΡΟΙ,2,March,2018
10:00,ΒΑΡΙΑ,7,March,2018
10:00,ΕΛΑΦΡΑ,60,March,2018
10:00,ΝΕΚΡΟΙ,5,April,2018
10:00,ΒΑΡΙΑ,4,April,2018
10:00,ΕΛΑΦΡΑ,52,April,2018
10:00,ΝΕΚΡΟΙ,4,May,2018
10:00,ΒΑΡΙΑ,3,May,2018
10:00,ΕΛΑΦΡΑ,55,May,2018
10:00,ΝΕΚΡΟΙ,1,June,2018
10:00,ΒΑΡΙΑ,1,June,2018
10:00,ΕΛΑΦΡΑ,65,June,2018
10:00,ΝΕΚΡΟΙ,1,July,2018
10:00,ΒΑΡΙΑ,2,July,2018
10:00,ΕΛΑΦΡΑ,68,July,2018
10:00,ΝΕΚΡΟΙ,4,August,2018
10:00,ΒΑΡΙΑ,1,August,2018
10:00,ΕΛΑΦΡΑ,58,August,2018
10:00,ΝΕΚΡΟΙ,1,September,2018
10:00,ΒΑΡΙΑ,4,September,2018
10:00,ΕΛΑΦΡΑ,57,September,2018
10:00,ΝΕΚΡΟΙ,1,October,2018
10:00,ΒΑΡΙΑ,3,October,2018
10:00,ΕΛΑΦΡΑ,53,October,2018
10:00,ΝΕΚΡΟΙ,8,November,2018
10:00,ΒΑΡΙΑ,4,November,2018
10:00,ΕΛΑΦΡΑ,61,November,2018
10:00,ΝΕΚΡΟΙ,3,December,2018
10:00,ΒΑΡΙΑ,3,December,2018
10:00,ΕΛΑΦΡΑ,38,December,2018
11:00,ΝΕΚΡΟΙ,2,January,2018
11:00,ΒΑΡΙΑ,2,January,2018
11:00,ΕΛΑΦΡΑ,58,January,2018
11:00,ΝΕΚΡΟΙ,1,February,2018
11:00,ΒΑΡΙΑ,2,February,2018
11:00,ΕΛΑΦΡΑ,55,February,2018
11:00,ΝΕΚΡΟΙ,6,March,2018
11:00,ΒΑΡΙΑ,0,March,2018
11:00,ΕΛΑΦΡΑ,68,March,2018
11:00,ΝΕΚΡΟΙ,1,April,2018
11:00,ΒΑΡΙΑ,2,April,2018
11:00,ΕΛΑΦΡΑ,67,April,2018
11:00,ΝΕΚΡΟΙ,2,May,2018
11:00,ΒΑΡΙΑ,1,May,2018
11:00,ΕΛΑΦΡΑ,61,May,2018
11:00,ΝΕΚΡΟΙ,6,June,2018
11:00,ΒΑΡΙΑ,0,June,2018
11:00,ΕΛΑΦΡΑ,78,June,2018
11:00,ΝΕΚΡΟΙ,6,July,2018
11:00,ΒΑΡΙΑ,4,July,2018
11:00,ΕΛΑΦΡΑ,81,July,2018
11:00,ΝΕΚΡΟΙ,4,August,2018
11:00,ΒΑΡΙΑ,0,August,2018
11:00,ΕΛΑΦΡΑ,55,August,2018
11:00,ΝΕΚΡΟΙ,3,September,2018
11:00,ΒΑΡΙΑ,2,September,2018
11:00,ΕΛΑΦΡΑ,64,September,2018
11:00,ΝΕΚΡΟΙ,4,October,2018
11:00,ΒΑΡΙΑ,8,October,2018
11:00,ΕΛΑΦΡΑ,73,October,2018
11:00,ΝΕΚΡΟΙ,1,November,2018
11:00,ΒΑΡΙΑ,3,November,2018
11:00,ΕΛΑΦΡΑ,71,November,2018
11:00,ΝΕΚΡΟΙ,3,December,2018
11:00,ΒΑΡΙΑ,3,December,2018
11:00,ΕΛΑΦΡΑ,56,December,2018
12:00,ΝΕΚΡΟΙ,1,January,2018
12:00,ΒΑΡΙΑ,2,January,2018
12:00,ΕΛΑΦΡΑ,67,January,2018
12:00,ΝΕΚΡΟΙ,1,February,2018
12:00,ΒΑΡΙΑ,3,February,2018
12:00,ΕΛΑΦΡΑ,41,February,2018
12:00,ΝΕΚΡΟΙ,3,March,2018
12:00,ΒΑΡΙΑ,5,March,2018
12:00,ΕΛΑΦΡΑ,50,March,2018
12:00,ΝΕΚΡΟΙ,1,April,2018
12:00,ΒΑΡΙΑ,1,April,2018
12:00,ΕΛΑΦΡΑ,56,April,2018
12:00,ΝΕΚΡΟΙ,2,May,2018
12:00,ΒΑΡΙΑ,2,May,2018
12:00,ΕΛΑΦΡΑ,69,May,2018
12:00,ΝΕΚΡΟΙ,2,June,2018
12:00,ΒΑΡΙΑ,2,June,2018
12:00,ΕΛΑΦΡΑ,69,June,2018
12:00,ΝΕΚΡΟΙ,3,July,2018
12:00,ΒΑΡΙΑ,7,July,2018
12:00,ΕΛΑΦΡΑ,65,July,2018
12:00,ΝΕΚΡΟΙ,7,August,2018
12:00,ΒΑΡΙΑ,5,August,2018
12:00,ΕΛΑΦΡΑ,86,August,2018
12:00,ΝΕΚΡΟΙ,3,September,2018
12:00,ΒΑΡΙΑ,3,September,2018
12:00,ΕΛΑΦΡΑ,93,September,2018
12:00,ΝΕΚΡΟΙ,0,October,2018
12:00,ΒΑΡΙΑ,2,October,2018
12:00,ΕΛΑΦΡΑ,80,October,2018
12:00,ΝΕΚΡΟΙ,1,November,2018
12:00,ΒΑΡΙΑ,5,November,2018
12:00,ΕΛΑΦΡΑ,93,November,2018
12:00,ΝΕΚΡΟΙ,4,December,2018
12:00,ΒΑΡΙΑ,0,December,2018
12:00,ΕΛΑΦΡΑ,51,December,2018
13:00,ΝΕΚΡΟΙ,3,January,2018
13:00,ΒΑΡΙΑ,5,January,2018
13:00,ΕΛΑΦΡΑ,55,January,2018
13:00,ΝΕΚΡΟΙ,3,February,2018
13:00,ΒΑΡΙΑ,1,February,2018
13:00,ΕΛΑΦΡΑ,49,February,2018
13:00,ΝΕΚΡΟΙ,4,March,2018
13:00,ΒΑΡΙΑ,5,March,2018
13:00,ΕΛΑΦΡΑ,64,March,2018
13:00,ΝΕΚΡΟΙ,5,April,2018
13:00,ΒΑΡΙΑ,1,April,2018
13:00,ΕΛΑΦΡΑ,80,April,2018
13:00,ΝΕΚΡΟΙ,5,May,2018
13:00,ΒΑΡΙΑ,6,May,2018
13:00,ΕΛΑΦΡΑ,60,May,2018
13:00,ΝΕΚΡΟΙ,4,June,2018
13:00,ΒΑΡΙΑ,5,June,2018
13:00,ΕΛΑΦΡΑ,88,June,2018
13:00,ΝΕΚΡΟΙ,5,July,2018
13:00,ΒΑΡΙΑ,1,July,2018
13:00,ΕΛΑΦΡΑ,83,July,2018
13:00,ΝΕΚΡΟΙ,6,August,2018
13:00,ΒΑΡΙΑ,5,August,2018
13:00,ΕΛΑΦΡΑ,71,August,2018
13:00,ΝΕΚΡΟΙ,5,September,2018
13:00,ΒΑΡΙΑ,3,September,2018
13:00,ΕΛΑΦΡΑ,69,September,2018
13:00,ΝΕΚΡΟΙ,4,October,2018
13:00,ΒΑΡΙΑ,2,October,2018
13:00,ΕΛΑΦΡΑ,66,October,2018
13:00,ΝΕΚΡΟΙ,4,November,2018
13:00,ΒΑΡΙΑ,3,November,2018
13:00,ΕΛΑΦΡΑ,69,November,2018
13:00,ΝΕΚΡΟΙ,2,December,2018
13:00,ΒΑΡΙΑ,4,December,2018
13:00,ΕΛΑΦΡΑ,74,December,2018
14:00,ΝΕΚΡΟΙ,0,January,2018
14:00,ΒΑΡΙΑ,2,January,2018
14:00,ΕΛΑΦΡΑ,62,January,2018
14:00,ΝΕΚΡΟΙ,3,February,2018
14:00,ΒΑΡΙΑ,2,February,2018
14:00,ΕΛΑΦΡΑ,49,February,2018
14:00,ΝΕΚΡΟΙ,8,March,2018
14:00,ΒΑΡΙΑ,3,March,2018
14:00,ΕΛΑΦΡΑ,67,March,2018
14:00,ΝΕΚΡΟΙ,5,April,2018
14:00,ΒΑΡΙΑ,3,April,2018
14:00,ΕΛΑΦΡΑ,72,April,2018
14:00,ΝΕΚΡΟΙ,2,May,2018
14:00,ΒΑΡΙΑ,1,May,2018
14:00,ΕΛΑΦΡΑ,66,May,2018
14:00,ΝΕΚΡΟΙ,0,June,2018
14:00,ΒΑΡΙΑ,1,June,2018
14:00,ΕΛΑΦΡΑ,79,June,2018
14:00,ΝΕΚΡΟΙ,5,July,2018
14:00,ΒΑΡΙΑ,7,July,2018
14:00,ΕΛΑΦΡΑ,84,July,2018
14:00,ΝΕΚΡΟΙ,1,August,2018
14:00,ΒΑΡΙΑ,4,August,2018
14:00,ΕΛΑΦΡΑ,76,August,2018
14:00,ΝΕΚΡΟΙ,2,September,2018
14:00,ΒΑΡΙΑ,3,September,2018
14:00,ΕΛΑΦΡΑ,71,September,2018
14:00,ΝΕΚΡΟΙ,4,October,2018
14:00,ΒΑΡΙΑ,4,October,2018
14:00,ΕΛΑΦΡΑ,89,October,2018
14:00,ΝΕΚΡΟΙ,0,November,2018
14:00,ΒΑΡΙΑ,3,November,2018
14:00,ΕΛΑΦΡΑ,72,November,2018
14:00,ΝΕΚΡΟΙ,4,December,2018
14:00,ΒΑΡΙΑ,2,December,2018
14:00,ΕΛΑΦΡΑ,88,December,2018
15:00,ΝΕΚΡΟΙ,3,January,2018
15:00,ΒΑΡΙΑ,1,January,2018
15:00,ΕΛΑΦΡΑ,66,January,2018
15:00,ΝΕΚΡΟΙ,1,February,2018
15:00,ΒΑΡΙΑ,3,February,2018
15:00,ΕΛΑΦΡΑ,57,February,2018
15:00,ΝΕΚΡΟΙ,5,March,2018
15:00,ΒΑΡΙΑ,3,March,2018
15:00,ΕΛΑΦΡΑ,53,March,2018
15:00,ΝΕΚΡΟΙ,2,April,2018
